,number,value,datetime_start,datetime_complete,params_cb_depth,params_cb_l2_leaf_reg,params_cb_subsample,params_lr_C,params_xgb_colsample_bylevel,params_xgb_colsample_bynode,params_xgb_colsample_bytree,params_xgb_max_depth,params_xgb_scale_pos_weight,params_xgb_subsample,system_attrs__number,state
0,0,-0.8925709472350839,2020-03-13 04:18:27.505780,2020-03-13 04:20:25.440687,7,19,0.7,0.13612527594788687,0.7,0.6,0.6,5,0.4,1.0,0,COMPLETE
1,1,-0.893648162098795,2020-03-13 04:20:25.443754,2020-03-13 04:22:43.562916,9,2,1.0,0.10505066077181513,0.6,0.5,0.8,8,0.7000000000000001,0.9,1,COMPLETE
2,2,-0.8924997934721464,2020-03-13 04:22:43.565693,2020-03-13 04:24:21.360380,7,8,0.7,0.10328036928528414,0.9,0.6,0.6,6,0.1,1.0,2,COMPLETE
3,3,-0.8921049072984977,2020-03-13 04:24:21.363011,2020-03-13 04:25:37.694167,5,16,0.75,0.10009196162652961,1.0,0.5,1.0,5,0.0,0.8,3,COMPLETE
4,4,-0.8930736458657059,2020-03-13 04:25:37.697070,2020-03-13 04:27:47.234502,7,10,0.6,0.13110031695499674,0.6,1.0,0.5,13,0.4,0.5,4,COMPLETE
5,5,-0.8927317439211969,2020-03-13 04:27:47.237547,2020-03-13 04:30:29.676120,3,20,0.9,0.07686667566429249,1.0,0.8,0.9,12,0.9,0.8,5,COMPLETE
6,6,-0.891828504187598,2020-03-13 04:30:29.679374,2020-03-13 04:32:09.252004,7,3,0.5,0.12940040713510545,1.0,0.8,1.0,2,0.8,0.6,6,COMPLETE
7,7,-0.8928477929056698,2020-03-13 04:32:09.255545,2020-03-13 04:34:19.813011,3,10,0.95,0.07176282783228938,1.0,0.7,0.7,11,0.4,0.7,7,COMPLETE
8,8,-0.8924028974874411,2020-03-13 04:34:19.816465,2020-03-13 04:36:23.604356,5,18,0.65,0.10082484593194445,1.0,0.5,0.6,14,0.9,0.6,8,COMPLETE
9,9,-0.8927685255484791,2020-03-13 04:36:23.608093,2020-03-13 04:38:15.896181,7,1,0.55,0.10355209790241651,0.7,0.8,0.8,6,0.8,0.6,9,COMPLETE
10,10,-0.8934226779384979,2020-03-13 04:38:15.900860,2020-03-13 04:41:25.071777,10,5,0.8500000000000001,0.08508011853477378,0.5,1.0,0.8,9,0.6000000000000001,0.9,10,COMPLETE
11,11,-0.8934636392961531,2020-03-13 04:41:25.076681,2020-03-13 04:44:36.431006,10,5,0.8500000000000001,0.08654837188492429,0.5,1.0,0.8,9,0.6000000000000001,0.9,11,COMPLETE
12,12,-0.893333575921606,2020-03-13 04:44:36.435391,2020-03-13 04:47:45.847245,10,5,1.0,0.11738196230228741,0.5,0.9,0.9,9,0.6000000000000001,0.9,12,COMPLETE
13,13,-0.8934675977466828,2020-03-13 04:47:45.852986,2020-03-13 04:50:07.200973,9,1,0.8,0.08577441633412289,0.6,0.9,0.7,8,0.6000000000000001,0.9,13,COMPLETE
14,14,-0.8931776228053957,2020-03-13 04:50:07.206747,2020-03-13 04:52:28.532168,9,1,0.8,0.11796073255246126,0.6,0.9,0.7,7,0.2,1.0,14,COMPLETE
15,15,-0.8923520277101372,2020-03-13 04:52:28.536710,2020-03-13 04:54:32.459917,9,14,1.0,0.14964432583325105,0.6,0.9,0.7,3,0.7000000000000001,0.9,15,COMPLETE
16,16,-0.8933014657576819,2020-03-13 04:54:32.464697,2020-03-13 04:57:26.049416,9,1,0.95,0.08825566368209432,0.8,0.7,0.9,11,1.0,0.8,16,COMPLETE
17,17,-0.893322093956405,2020-03-13 04:57:26.054946,2020-03-13 04:59:23.116187,8,3,0.8,0.0933812531313245,0.7,0.6,0.5,10,0.5,0.7,17,COMPLETE
18,18,-0.8932676837016085,2020-03-13 04:59:23.120838,2020-03-13 05:01:27.903936,8,8,0.9,0.1129334093126168,0.6,0.9,0.8,8,0.7000000000000001,0.9,18,COMPLETE
19,19,-0.8923971442115161,2020-03-13 05:01:27.909953,2020-03-13 05:02:52.948888,5,13,1.0,0.07513076317672762,0.8,0.7,0.7,4,0.30000000000000004,1.0,19,COMPLETE
20,20,-0.8938501660090558,2020-03-13 05:02:52.954716,2020-03-13 05:04:37.593619,8,3,0.75,0.08063174436211258,0.6,0.5,0.6,7,1.0,0.8,20,COMPLETE
21,21,-0.8938488875032947,2020-03-13 05:04:37.599847,2020-03-13 05:06:22.053187,8,3,0.75,0.08064267996794915,0.6,0.5,0.6,7,1.0,0.8,21,COMPLETE
22,22,-0.893517139844927,2020-03-13 05:06:22.064045,2020-03-13 05:08:05.226586,8,3,0.7,0.08009082797483742,0.5,0.5,0.6,7,1.0,0.8,22,COMPLETE
23,23,-0.8929589491469415,2020-03-13 05:08:05.231894,2020-03-13 05:09:34.077451,6,7,0.75,0.07105452570998452,0.7,0.5,0.5,7,1.0,0.7,23,COMPLETE
24,24,-0.8929954111477835,2020-03-13 05:09:34.082871,2020-03-13 05:11:17.392422,8,3,0.6,0.09615220773459966,0.6,0.6,0.6,6,0.9,0.8,24,COMPLETE
25,25,-0.8934402082194153,2020-03-13 05:11:17.398613,2020-03-13 05:12:46.908211,6,6,0.65,0.09287421757445755,0.5,0.5,0.5,8,0.8,0.7,25,COMPLETE
26,26,-0.8932432691589005,2020-03-13 05:12:46.915798,2020-03-13 05:15:10.418266,9,4,0.8500000000000001,0.10876766115454792,0.7,0.6,0.6,10,1.0,0.8,26,COMPLETE
27,27,-0.8927945382233884,2020-03-13 05:15:10.424846,2020-03-13 05:17:45.814532,10,2,0.5,0.0808209569673252,0.6,0.5,0.7,5,0.9,0.9,27,COMPLETE
28,28,-0.8936049141827594,2020-03-13 05:17:45.820661,2020-03-13 05:19:45.715002,8,7,0.75,0.12330953619127924,0.8,0.6,0.8,7,0.7000000000000001,0.8,28,COMPLETE
29,29,-0.8930382902640803,2020-03-13 05:19:45.721110,2020-03-13 05:21:09.394986,6,12,0.65,0.1402031199264226,0.7,0.5,0.6,4,0.8,1.0,29,COMPLETE
