,0
0,v15
1,v16
2,v24
3,v26
4,v27
5,v28
6,v29
7,v31
8,v32
9,v33
10,v34
11,v37
12,v38
13,v39
14,v40
15,v41
16,v42
17,v44
18,v45
19,v47
20,v48
21,v49
22,v50
23,v51
24,v52
25,v55
26,v86
27,v87
28,v88
29,v94
30,v95
31,v96
32,v97
33,v171
34,v192
35,v193
36,v194
37,v200
38,v201
39,v202
40,v203
41,v204
42,v205
43,v206
44,v212
45,v213
46,v214
47,v215
48,v245
49,v246
50,v247
51,v259
52,v260
53,v261
54,v267
55,v268
56,v269
57,v270
58,v17_3
59,v17_4
60,v17_6
61,v17_77
62,v17_88
63,v17_99
64,v17_AF
65,v17_AL
66,v17_AM
67,v17_AO
68,v17_AR
69,v17_AS
70,v17_AT
71,v17_AU
72,v17_AW
73,v17_AX
74,v17_AZ
75,v17_BA
76,v17_BD
77,v17_BE
78,v17_BF
79,v17_BG
80,v17_BI
81,v17_BJ
82,v17_BO
83,v17_BQ
84,v17_BR
85,v17_BY
86,v17_CA
87,v17_CD
88,v17_CF
89,v17_CG
90,v17_CH
91,v17_CI
92,v17_CL
93,v17_CM
94,v17_CN
95,v17_CO
96,v17_CR
97,v17_CU
98,v17_CV
99,v17_CW
100,v17_CY
101,v17_CZ
102,v17_DE
103,v17_DJ
104,v17_DK
105,v17_DO
106,v17_DZ
107,v17_EC
108,v17_EE
109,v17_EG
110,v17_ER
111,v17_ES
112,v17_ET
113,v17_FI
114,v17_FO
115,v17_FR
116,v17_GA
117,v17_GB
118,v17_GD
119,v17_GE
120,v17_GF
121,v17_GH
122,v17_GL
123,v17_GM
124,v17_GN
125,v17_GP
126,v17_GQ
127,v17_GR
128,v17_GT
129,v17_GW
130,v17_HK
131,v17_HN
132,v17_HR
133,v17_HU
134,v17_ID
135,v17_IE
136,v17_IL
137,v17_IM
138,v17_IN
139,v17_IO
140,v17_IQ
141,v17_IR
142,v17_IS
143,v17_IT
144,v17_JM
145,v17_JO
146,v17_JP
147,v17_KE
148,v17_KG
149,v17_KM
150,v17_KR
151,v17_KW
152,v17_KZ
153,v17_LA
154,v17_LB
155,v17_LI
156,v17_LK
157,v17_LR
158,v17_LT
159,v17_LU
160,v17_LV
161,v17_LY
162,v17_MA
163,v17_MD
164,v17_ME
165,v17_MG
166,v17_MK
167,v17_ML
168,v17_MN
169,v17_MQ
170,v17_MR
171,v17_MU
172,v17_MX
173,v17_MY
174,v17_MZ
175,v17_NE
176,v17_NG
177,v17_NI
178,v17_NL
179,v17_NO
180,v17_NP
181,v17_NZ
182,v17_PE
183,v17_PH
184,v17_PK
185,v17_PL
186,v17_PR
187,v17_PS
188,v17_PT
189,v17_PY
190,v17_RE
191,v17_RO
192,v17_RS
193,v17_RU
194,v17_RW
195,v17_SA
196,v17_SD
197,v17_SE
198,v17_SG
199,v17_SI
200,v17_SK
201,v17_SL
202,v17_SN
203,v17_SO
204,v17_SR
205,v17_ST
206,v17_SY
207,v17_SZ
208,v17_TD
209,v17_TH
210,v17_TJ
211,v17_TL
212,v17_TM
213,v17_TN
214,v17_TR
215,v17_TZ
216,v17_UA
217,v17_UG
218,v17_US
219,v17_UY
220,v17_UZ
221,v17_VE
222,v17_VN
223,v17_XK
224,v17_YE
225,v17_ZA
226,v17_ZM
227,v17_ZW
228,v20_AT11
229,v20_AT12
230,v20_AT13
231,v20_AT21
232,v20_AT22
233,v20_AT31
234,v20_AT32
235,v20_AT33
236,v20_AT34
237,v20_BE10
238,v20_BE21
239,v20_BE22
240,v20_BE23
241,v20_BE24
242,v20_BE25
243,v20_BE31
244,v20_BE32
245,v20_BE33
246,v20_BE34
247,v20_BE35
248,v20_CH01
249,v20_CH02
250,v20_CH03
251,v20_CH04
252,v20_CH05
253,v20_CH06
254,v20_CH07
255,v20_CZ010
256,v20_CZ020
257,v20_CZ031
258,v20_CZ032
259,v20_CZ041
260,v20_CZ042
261,v20_CZ051
262,v20_CZ052
263,v20_CZ053
264,v20_CZ063
265,v20_CZ064
266,v20_CZ071
267,v20_CZ072
268,v20_CZ080
269,v20_DE1
270,v20_DE2
271,v20_DE3
272,v20_DE4
273,v20_DE5
274,v20_DE6
275,v20_DE7
276,v20_DE8
277,v20_DE9
278,v20_DEA
279,v20_DEB
280,v20_DEC
281,v20_DED
282,v20_DEE
283,v20_DEF
284,v20_DEG
285,v20_DK01
286,v20_DK02
287,v20_DK03
288,v20_DK04
289,v20_DK05
290,v20_EE001
291,v20_EE004
292,v20_EE006
293,v20_EE007
294,v20_EE008
295,v20_ES11
296,v20_ES12
297,v20_ES13
298,v20_ES21
299,v20_ES22
300,v20_ES23
301,v20_ES24
302,v20_ES30
303,v20_ES41
304,v20_ES42
305,v20_ES43
306,v20_ES51
307,v20_ES52
308,v20_ES53
309,v20_ES61
310,v20_ES62
311,v20_ES63
312,v20_ES64
313,v20_ES70
314,v20_FI193
315,v20_FI194
316,v20_FI195
317,v20_FI196
318,v20_FI197
319,v20_FI1B1
320,v20_FI1C1
321,v20_FI1C2
322,v20_FI1C3
323,v20_FI1C4
324,v20_FI1C5
325,v20_FI1D1
326,v20_FI1D2
327,v20_FI1D3
328,v20_FI1D4
329,v20_FI1D5
330,v20_FI1D6
331,v20_FI1D7
332,v20_FI200
333,v20_FR10
334,v20_FR21
335,v20_FR22
336,v20_FR23
337,v20_FR24
338,v20_FR25
339,v20_FR26
340,v20_FR30
341,v20_FR41
342,v20_FR42
343,v20_FR43
344,v20_FR51
345,v20_FR52
346,v20_FR53
347,v20_FR61
348,v20_FR62
349,v20_FR63
350,v20_FR71
351,v20_FR72
352,v20_FR81
353,v20_FR82
354,v20_HU101
355,v20_HU102
356,v20_HU211
357,v20_HU212
358,v20_HU213
359,v20_HU221
360,v20_HU222
361,v20_HU223
362,v20_HU231
363,v20_HU232
364,v20_HU233
365,v20_HU311
366,v20_HU312
367,v20_HU313
368,v20_HU321
369,v20_HU322
370,v20_HU323
371,v20_HU331
372,v20_HU332
373,v20_HU333
374,v20_IE011
375,v20_IE012
376,v20_IE013
377,v20_IE021
378,v20_IE022
379,v20_IE023
380,v20_IE024
381,v20_IE025
382,v20_IL
383,v20_LT001
384,v20_LT002
385,v20_LT003
386,v20_LT004
387,v20_LT005
388,v20_LT006
389,v20_LT007
390,v20_LT008
391,v20_LT009
392,v20_LT00A
